"Town","FIPS","Year","Abused Substance","Outcome","Measure Type","Variable","Value"
"Northeast Communities Against Substance Abuse",9000000000018,2007,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",166
"Southeastern Regional Action Council",9000000000019,2007,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",263
"East of the River Action for Substance Elimination",9000000000020,2007,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",257
"Capitol Area Substance Abuse Council",9000000000021,2007,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",252
"Substance Abuse Action Council",9000000000022,2007,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",277
"Housatonic Valley Coalition Against Substance Abuse",9000000000023,2007,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",155
"Central Naugatuck Valley Regional Action Council",9000000000024,2007,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",161
"Andover",901301080,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Ansonia",900901220,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",14
"Ashford",901501430,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Avon",900302060,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Barkhamsted",900502760,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Beacon Falls",900903250,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Berlin",900304300,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",22
"Bethany",900904580,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Bethel",900104720,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",9
"Bethlehem",900504930,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Bloomfield",900305910,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",24
"Bolton",901306260,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Bozrah",901106820,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Branford",900907310,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",27
"Bridgeport",900108070,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",39
"Bridgewater",900508210,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Bristol",900308490,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",82
"Brookfield",900108980,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Brooklyn",901509190,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Burlington",900310100,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Canaan",900510940,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Canterbury",901512130,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Canton",900312270,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",8
"Chaplin",901513810,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Cheshire",900914160,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Chester",900714300,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Clinton",900715350,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",15
"Colchester",901115910,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",16
"Colebrook",900516050,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Columbia",901316400,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Connecticut",9,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2349
"Cornwall",900517240,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Coventry",901317800,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",12
"Cromwell",900718080,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",12
"Danbury",900118500,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",13
"Darien",900118850,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",19
"Deep River",900719130,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Derby",900919550,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",22
"Durham",900720810,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"East Granby",900322070,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"East Haddam",900722280,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"East Hampton",900722490,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"East Hartford",900322630,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",23
"East Haven",900922910,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",16
"East Lyme",901123400,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"East Windsor",900324800,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",15
"Eastford",901521860,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Easton",900123890,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Ellington",901325360,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Enfield",900325990,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",29
"Essex",900726270,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Fairfield",900126620,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",41
"Farmington",900327600,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",25
"Franklin",901129910,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Glastonbury",900331240,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",25
"Goshen",900532290,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Granby",900332640,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",8
"Greenwich",900133620,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",38
"Griswold",901133900,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Groton",901134250,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",28
"Guilford",900934950,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",13
"Haddam",900735230,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Hamden",900935650,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",36
"Hampton",901536000,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Hartford",900337070,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",46
"Hartland",900337140,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Harwinton",900537280,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Hebron",901337910,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Kent",900540290,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Killingly",901540500,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",18
"Killingworth",900740710,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Lebanon",901142390,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",9
"Ledyard",901142600,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Lisbon",901143230,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Litchfield",900543370,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",13
"Lyme",901144210,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Madison",900944560,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"Manchester",900344700,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",73
"Mansfield",901344910,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",20
"Marlborough",900345820,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",9
"Meriden",900946520,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",43
"Middlebury",900946940,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Middlefield",900747080,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Middletown",900747360,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"Milford",900947535,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",48
"Monroe",900148620,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"Montville",901148900,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Morris",900549460,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Naugatuck",900949950,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",32
"New Britain",900350440,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",48
"New Canaan",900150580,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",8
"New Fairfield",900150860,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"New Hartford",900551350,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"New Haven",900952070,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",56
"New London",901152350,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",33
"New Milford",900552630,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",18
"Newington",900352140,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",22
"Newtown",900152980,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Norfolk",900553470,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"North Branford",900953890,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"North Canaan",900554030,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"North Haven",900954870,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",30
"North Stonington",901155500,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Norwalk",900156060,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",57
"Norwich",901156270,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",55
"Old Lyme",901157040,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Old Saybrook",900757320,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Orange",900957600,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",20
"Oxford",900958300,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Plainfield",901559980,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",22
"Plainville",900360120,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",29
"Plymouth",900560750,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",8
"Pomfret",901561030,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Portland",900761800,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",12
"Preston",901162150,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Prospect",900962290,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Putnam",901562710,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",17
"Redding",900163480,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",8
"Ridgefield",900163970,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",20
"Rocky Hill",900365370,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"Roxbury",900565930,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Salem",901166210,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Salisbury",900566420,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Scotland",901567400,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Seymour",900967610,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",15
"Sharon",900567960,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Shelton",900168170,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",9
"Sherman",900168310,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Simsbury",900368940,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Somers",901369220,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"South Windsor",900371390,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Southbury",900969640,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Southington",900370550,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",36
"Sprague",901171670,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Stafford",901372090,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",13
"Stamford",900173070,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",83
"Sterling",901573420,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Stonington",901173770,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",27
"Stratford",900174190,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",32
"Suffield",900374540,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Thomaston",900575730,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",12
"Thompson",901575870,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Tolland",901376290,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Torrington",900576570,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",32
"Trumbull",900177200,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",20
"Union",901377830,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Vernon",901378250,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",20
"Voluntown",901178600,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Wallingford",900978740,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",59
"Warren",900579510,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Washington",900579720,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Waterbury",900980070,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",37
"Waterford",901180280,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",12
"Watertown",900580490,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",19
"West Hartford",900382590,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",35
"West Haven",900982870,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",43
"Westbrook",900781680,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Weston",900183430,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Westport",900183500,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Wethersfield",900384900,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",21
"Willington",901385950,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"Wilton",900186370,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Winchester",900586440,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",12
"Windham",901586790,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",24
"Windsor",900387000,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Windsor Locks",900387070,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Wolcott",900987560,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Woodbridge",900987700,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Woodbury",900587910,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"Woodstock",901588190,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Lower Fairfield County Regional Action Council",9000000000011,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",148
"Mid-Fairfield Substance Abuse Coalition",9000000000012,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",83
"Regional Youth/Adult Social Action Project",9000000000014,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",146
"South Central CT Substance Abuse Council",9000000000015,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",238
"Greater Valley Substance Abuse Action Council",9000000000016,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",234
"Middlesex County Substance Abuse Action Council",9000000000017,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",93
"Northeast Communities Against Substance Abuse",9000000000018,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",172
"Southeastern Regional Action Council",9000000000019,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",200
"East of the River Action for Substance Elimination",9000000000020,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",248
"Capitol Area Substance Abuse Council",9000000000021,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",246
"Substance Abuse Action Council",9000000000022,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",292
"Housatonic Valley Coalition Against Substance Abuse",9000000000023,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",121
"Central Naugatuck Valley Regional Action Council",9000000000024,2008,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",128
"Andover",901301080,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Ansonia",900901220,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"Ashford",901501430,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Avon",900302060,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Barkhamsted",900502760,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",8
"Beacon Falls",900903250,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Berlin",900304300,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",21
"Bethany",900904580,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Bethel",900104720,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Bethlehem",900504930,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Bloomfield",900305910,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Bolton",901306260,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Bozrah",901106820,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Branford",900907310,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",32
"Bridgeport",900108070,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",44
"Bridgewater",900508210,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Bristol",900308490,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",43
"Brookfield",900108980,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Brooklyn",901509190,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Burlington",900310100,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Canaan",900510940,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Canterbury",901512130,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Canton",900312270,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Chaplin",901513810,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Cheshire",900914160,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"Chester",900714300,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Clinton",900715350,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Colchester",901115910,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",22
"Colebrook",900516050,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Columbia",901316400,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Connecticut",9,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2278
"Cornwall",900517240,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Coventry",901317800,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Cromwell",900718080,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",8
"Danbury",900118500,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Darien",900118850,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",12
"Deep River",900719130,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Derby",900919550,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",19
"Durham",900720810,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"East Granby",900322070,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"East Haddam",900722280,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"East Hampton",900722490,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"East Hartford",900322630,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",45
"East Haven",900922910,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",15
"East Lyme",901123400,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",9
"East Windsor",900324800,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Eastford",901521860,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Easton",900123890,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Ellington",901325360,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Enfield",900325990,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",40
"Essex",900726270,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Fairfield",900126620,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",37
"Farmington",900327600,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",30
"Franklin",901129910,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Glastonbury",900331240,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",20
"Goshen",900532290,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Granby",900332640,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Greenwich",900133620,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",48
"Griswold",901133900,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",15
"Groton",901134250,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",34
"Guilford",900934950,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",12
"Haddam",900735230,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",9
"Hamden",900935650,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",24
"Hampton",901536000,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",0
"Hartford",900337070,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",68
"Hartland",900337140,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Harwinton",900537280,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",9
"Hebron",901337910,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"Kent",900540290,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Killingly",901540500,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",20
"Killingworth",900740710,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Lebanon",901142390,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",9
"Ledyard",901142600,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"Lisbon",901143230,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"Litchfield",900543370,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Lyme",901144210,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",1
"Madison",900944560,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"Manchester",900344700,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",57
"Mansfield",901344910,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",15
"Marlborough",900345820,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"Meriden",900946520,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",32
"Middlebury",900946940,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
"Middlefield",900747080,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Middletown",900747360,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",20
"Milford",900947535,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",44
"Monroe",900148620,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",10
"Montville",901148900,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",20
"Morris",900549460,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",3
"Naugatuck",900949950,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",17
"New Britain",900350440,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",45
"New Canaan",900150580,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",8
"New Fairfield",900150860,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"New Hartford",900551350,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",2
"New Haven",900952070,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",55
"New London",901152350,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",34
"New Milford",900552630,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",13
"Newington",900352140,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",21
"Newtown",900152980,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"Norfolk",900553470,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"North Branford",900953890,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",4
"North Canaan",900554030,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",6
"North Haven",900954870,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",19
"North Stonington",901155500,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",8
"Norwalk",900156060,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",49
"Norwich",901156270,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",58
"Old Lyme",901157040,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",12
"Old Saybrook",900757320,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",7
"Orange",900957600,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",16
"Oxford",900958300,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",11
"Plainfield",901559980,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",16
"Plainville",900360120,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",17
"Plymouth",900560750,2009,"Alcohol","Motor vehicle accidents","Number","Motor Vehicle",5
